Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Distance to the school (too far),"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of food at home and school fees or costs,Fees or costs early marriage ,Yes,Yes,22,130,IDPs,Yes,Yes,Gombe,Kwami,Kwami,Rented house,,,,,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,>75%,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage/pregnancy,Lack of documentation lack of facilities separated by sex,Yes,Yes,37,208,IDPs,Yes,Yes,Gombe,Kwami,Malam Sidi,Rented house,,,,>75%,Yes,No,Police,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs safety concerns,Fees or costs,Yes,Yes,22,102,IDPs,Yes,Yes,Gombe,Kwami,Malam Sidi,Rented house,,,,>75%,Yes,No,Police,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs safety concerns,Early marriage  lack of food at home and school,No,Yes,20,152,IDPs,Yes,Yes,Gombe,Kwami,Malam Sidi,Rented house,,,,>75%,Yes,Yes,Police,Cough,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working fees or costs,Early marriage  lack of food at home and school,No,Yes,10,86,IDPs,Yes,Yes,Gombe,Kwami,Malleri,Rented house,,,,>75%,Yes,Yes,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,9,51,IDPs,Yes,Yes,Gombe,Nafada,Barwo / Nasarawo,Rented house,,,,>75%,Yes,No,Self Organized,Malaria,No,No,No
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy fees or costs,Fees or costs early marriage ,Yes,Yes,19,131,IDPs,Yes,Yes,Gombe,Nafada,Barwo / Nasarawo,Rented house,,,<25%,>75%,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,25,105,IDPs,Yes,Yes,Gombe,Nafada,Barwo Winde,Rented house,,,<25%,>75%,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,62,231,IDPs,Yes,Yes,Gombe,Nafada,Birin Bolewa,Rented house,,,<25%,>75%,Yes,No,Self Organized,Malaria,No,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,23,106,IDPs,Yes,Yes,Gombe,Nafada,Birin Fulani East,Rented house,,,<25%,>75%,Yes,No,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work at the house,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,22,73,IDPs,Yes,Yes,Gombe,Nafada,Birin Fulani West,Rented house,,,<25%,>75%,Yes,No,Self Organized,Cough,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,14,70,IDPs,Yes,Yes,Gombe,Nafada,Birin Fulani West,Rented house,,,<25%,>75%,Yes,No,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work at the house,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,32,140,IDPs,Yes,Yes,Gombe,Nafada,Gudukku,Rented house,,,<25%,>75%,Yes,No,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,56,180,IDPs,Yes,Yes,Gombe,Nafada,Jigawa,Rented house,,,<25%,>75%,Yes,No,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work at the house,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,16,57,IDPs,Yes,Yes,Gombe,Nafada,Nafada Central,Rented house,,,<25%,>75%,Yes,No,Self Organized,Cough,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,29,105,IDPs,Yes,Yes,Gombe,Nafada,Nafada Central,Rented house,,,<25%,>75%,Yes,No,Self Organized,Fever,No,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,9,46,IDPs,Yes,Yes,Gombe,Nafada,Nafada East,Rented house,,,,>75%,Yes,No,Self Organized,Fever,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,23,118,IDPs,Yes,Yes,Gombe,Nafada,Nafada East,Rented house,,,,>75%,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,12,75,IDPs,Yes,Yes,Gombe,Nafada,Nafada West,Rented house,,,,>75%,Yes,No,Self Organized,Fever,No,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work at the house,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,24,125,IDPs,Yes,Yes,Gombe,Nafada,Nafada West,Rented house,,,,>75%,Yes,No,Self Organized,Fever,No,No,No
Yes,On-site,<1km,<25%,Classrooms not crowded,No,Fees or costs,Distance to the school (too far),School is damaged or destroyed,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs lack of facilities separated by sex,Yes,Yes,13,85,IDPs,Yes,Yes,Borno,Shani,Walama,Makeshift shelter (Using Local Materials),,<25%,<25%,,Yes,No,Police,Malaria,Yes,Yes,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,3,12,IDPs,Yes,Yes,Gombe,Shongom,Bangunji,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,7,44,IDPs,Yes,Yes,Gombe,Shongom,Boh,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,4,25,IDPs,Yes,Yes,Gombe,Shongom,Burak,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,20,137,IDPs,Yes,Yes,Gombe,Shongom,Filiya,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,6,35,IDPs,Yes,Yes,Gombe,Shongom,Gundale,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,6,23,IDPs,Yes,Yes,Gombe,Shongom,Gwandum,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,16,97,IDPs,Yes,Yes,Gombe,Shongom,Gwandum,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,7,43,IDPs,Yes,Yes,Gombe,Shongom,Kulishin,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,11,73,IDPs,Yes,Yes,Gombe,Shongom,Lalaipido,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms are crowded,No,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,4,15,IDPs,Yes,Yes,Gombe,Shongom,Lalaipido,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,6,17,IDPs,Yes,Yes,Gombe,Shongom,Lalaipido,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs lack of food at home and school,Yes,Yes,7,40,IDPs,Yes,Yes,Gombe,Shongom,Lapan,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,3,12,IDPs,Yes,Yes,Gombe,Shongom,Lapan,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Early marriage/pregnancy fees or costs,Lack of food at home and school they are working,Yes,Yes,113,763,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Deba,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,Lack of food at home and school they are working,Yes,Yes,13,97,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Deba,Communal shelter,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,Lack of food at home and school they are working,Yes,Yes,8,59,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Difa / Lubo / Kinafa,Communal shelter,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,They are working lack of food at home and school,Yes,Yes,4,15,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Gwani / Shinga / Wade,Communal shelter,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,>75%,Classrooms not crowded,Yes,Lack of teachers,Lack of school supplies,Fees or costs,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,They are working lack of food at home and school,Yes,Yes,45,318,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Hinna,Rented house,,,,>75%,Yes,No,Local authorities,Cough,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,Lack of food at home and school they are working,Yes,Yes,35,171,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Hinna,Rented house,,,,>75%,No,No,,Cough,No,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,"Early marriage pregnancy none, girls under 18 go to school",Lack of food at home and school they are working,Yes,Yes,37,183,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Jagali North,Communal shelter,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Lack of school supplies,Fees or costs,Work at the house,Largely insufficient number of teachers/Volunteers are available,Early marriage/pregnancy safety concerns,They are working lack of food at home and school,Yes,Yes,39,279,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Jagali South,Rented house,,,,>75%,Yes,No,Local authorities,Cough,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,They are working lack of food at home and school,Yes,Yes,20,191,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Kanawa / Wajari,Rented house,,,,>75%,Yes,No,Local authorities,Cough,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage pregnancy,Lack of food at home and school they are working,Yes,Yes,7,69,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Kuri /Lano / Lambam,Communal shelter,,,,51%-75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Lack of teachers,Lack of school supplies,Fees or costs,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,They are working lack of food at home and school,Yes,Yes,83,537,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Kuri /Lano / Lambam,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,Lack of food at home and school they are working,Yes,Yes,26,169,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Kuri /Lano / Lambam,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of school supplies,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,Lack of food at home and school they are working,Yes,Yes,37,290,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Kuri /Lano / Lambam,Communal shelter,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy fees or costs,They are working lack of food at home and school,Yes,Yes,111,679,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Kwadon / Liji / Kurba,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy lack of facilities separated by sex,Lack of food at home and school they are working,Yes,Yes,18,115,IDPs,Yes,Yes,Gombe,Yalmaltu/ Deba,Nono / Kunwal / W. Birdeka,Communal shelter,,,,>75%,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Fees or costs,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs lack of space in local schools,They are working,Yes,Yes,72,373,IDPs,Yes,Yes,Taraba,Ardo - Kola,Jauro Yinu,Rented house,,,,,Yes,No,Police,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working fees or costs,Fees or costs early marriage ,Yes,Yes,63,278,IDPs,Yes,Yes,Taraba,Ardo - Kola,Jauro Yinu,Rented house,,,,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,95,484,IDPs,Yes,Yes,Taraba,Ardo - Kola,Lamido Borno,Rented house,,,,51%-75%,Yes,No,Police,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,"School is occupied (by families, military, etc.)",Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working,Fees or costs,Yes,Yes,68,366,IDPs,Yes,Yes,Taraba,Ardo - Kola,Mayo Ranewo,Accommodation by other families,,,,,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Work in the fields,Work at the house,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy,Dnk no,No,Yes,137,751,IDPs,Yes,No,Taraba,Ardo - Kola,Mayo Ranewo,Accommodation by other families,,,,51%-75%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,School is damaged or destroyed,Fees or costs,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,They are working fees or costs,No,Yes,83,418,IDPs,Yes,Yes,Taraba,Ardo - Kola,Mayo Ranewo,Accommodation by other families,,,,51%-75%,Yes,No,Police,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Distance to school fees or costs,They are working fees or costs,Yes,Yes,118,601,IDPs,Yes,Yes,Taraba,Ardo - Kola,Sarkin Dutse,Rented house,,,,51%-75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<2km,<25%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working fees or costs,Fees or costs they are working,Yes,Yes,77,390,IDPs,Yes,Yes,Taraba,Ardo - Kola,Sunkani,Rented house,,,,51%-75%,No,No,,Fever,Yes,No,No
Yes,Off-site,<1km,>75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,120,541,IDPs,Yes,Yes,Taraba,Bali,Badakoshi,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy they are working,They are working fees or costs,Yes,Yes,135,854,IDPs,Yes,Yes,Taraba,Bali,Badakoshi,Preexisting structures (Partitioned),,,<25%,>75%,Yes,No,Self Organized,Fever,Yes,No,No
Yes,Off-site,<1km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,They are working early marriage/pregnancy,They are working fees or costs,No,Yes,50,378,IDPs,Yes,Yes,Taraba,Bali,Badakoshi,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<1km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs they are working,Fees or costs they are working,Yes,Yes,40,276,IDPs,Yes,Yes,Taraba,Bali,Badakoshi,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Fever,Yes,No,No
Yes,Off-site,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,105,511,IDPs,Yes,Yes,Taraba,Bali,Bali A,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs they are working,Fees or costs they are working,Yes,Yes,33,207,IDPs,Yes,Yes,Taraba,Bali,Bali A,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<2km,>75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage/pregnancy,Fees or costs they are working,Yes,Yes,20,134,IDPs,Yes,Yes,Taraba,Bali,Bali B,Preexisting structures (Partitioned),,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<1km,>75%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage/pregnancy,Fees or costs they are working,Yes,Yes,26,163,IDPs,Yes,Yes,Taraba,Bali,Bali B,Preexisting structures (Partitioned),,,,>75%,Yes,No,Police,Malaria,Yes,No,No
Yes,Off-site,<1km,>75%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage/pregnancy,Fees or costs they are working,Yes,Yes,45,269,IDPs,Yes,Yes,Taraba,Bali,Kaigama,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<1km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage/pregnancy,Fees or costs they are working,Yes,Yes,62,441,IDPs,Yes,Yes,Taraba,Bali,Kaigama,Preexisting structures (Partitioned),,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs they are working,They are working fees or costs,Yes,Yes,61,345,IDPs,Yes,Yes,Taraba,Bali,Kaigama,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Fever,Yes,No,No
Yes,Off-site,<2km,51%-75%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs they are working,Fees or costs they are working,Yes,Yes,19,100,IDPs,Yes,Yes,Taraba,Bali,Kaigama,Preexisting structures (Partitioned),,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,81,530,IDPs,Yes,Yes,Taraba,Bali,Maihula,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Fever,Yes,No,No
Yes,Off-site,<2km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage/pregnancy,Fees or costs they are working,Yes,Yes,91,427,IDPs,Yes,Yes,Taraba,Bali,Suntai,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Malaria,Yes,No,No
